strategy,query,num_results,latency_ms,error
ColBERT Rerank (Contextual Retrieval (DS(KoSimCSE-roberta-multitask+splade))),북태평양 기단과 오호츠크해 기단이 만나 국내에 머무르는 기간은?,3,87001.0,
ColBERT Rerank (Contextual Retrieval (DS(KoSimCSE-roberta-multitask+splade))),지능형 생산자동화 기반기술을 개발중인 스타트업은?,3,93120.6,
ColBERT Rerank (Contextual Retrieval (DS(KoSimCSE-roberta-multitask+splade))),개막전에서 3안타 2실점을 기록해서 패한 선수는?,3,84577.2,
ColBERT Rerank (Contextual Retrieval (DS(KoSimCSE-roberta-multitask+splade))),컵라면 매출에서 불닭볶음면을 이긴 상품은?,3,83868.7,
ColBERT Rerank (Contextual Retrieval (DS(KoSimCSE-roberta-multitask+splade))),재작년 세븐일레븐 컵라면 중 제일 많이 팔린 제품은?,3,81530.2,
ColBERT Rerank (Contextual Retrieval (DS(KoSimCSE-roberta-multitask+splade))),정부에게 환경과 관련해서 우선적으로 원조 받고 있는 곳은?,3,82935.0,
ColBERT Rerank (Contextual Retrieval (DS(KoSimCSE-roberta-multitask+splade))),에티하드 웰니스 프로그램의 일환으로 위생에 관한 정보를 제공하는 것은 누구인가?,3,80071.8,
ColBERT Rerank (Contextual Retrieval (DS(KoSimCSE-roberta-multitask+splade))),에티하드항공이 최고의 이코노미 클래스 상을 두 번째로 받은 해는?,3,76960.4,
ColBERT Rerank (Contextual Retrieval (DS(KoSimCSE-roberta-multitask+splade))),2015년에 열렸던 AAAI에 논문을 개재한 사람의 소속 학교는?,3,75836.7,
ColBERT Rerank (Contextual Retrieval (DS(KoSimCSE-roberta-multitask+splade))),코로나19 심각 단계 선언 전에 계획했던 적벽의 마지막 공연일은?,3,84287.4,
ColBERT Rerank (Contextual Retrieval (DS(KoSimCSE-roberta-multitask+splade))),지난달 신임 임원 교육에서 강연했던 사람의 이름은?,3,77817.6,
ColBERT Rerank (Contextual Retrieval (DS(KoSimCSE-roberta-multitask+splade))),2020 카트라이더 리그 시즌2'의 결승전은 언제인가?,3,73995.0,
ColBERT Rerank (Contextual Retrieval (DS(KoSimCSE-roberta-multitask+splade))),삼성전자가 LCD 공장을 보유한 회사에 출자하는 금액은?,3,74990.2,
ColBERT Rerank (Contextual Retrieval (DS(KoSimCSE-roberta-multitask+splade))),삼성전자가 이번 투자로 샤프에서 공급받으려는 부품은 어떤 가전제품의 것인가?,3,78121.6,
ColBERT Rerank (Contextual Retrieval (DS(KoSimCSE-roberta-multitask+splade))),서울대학교 다음 총장으로 출마한 후보 수는?,3,90182.4,
ColBERT Rerank (Contextual Retrieval (DS(KoSimCSE-roberta-multitask+splade))),위안화 가치가 떨어질것이라고 예측한 곳은?,3,74690.7,
ColBERT Rerank (Contextual Retrieval (DS(KoSimCSE-roberta-multitask+splade))),WSJ의 전망을 부정한 은행은?,3,75017.3,
ColBERT Rerank (Contextual Retrieval (DS(KoSimCSE-roberta-multitask+splade))),자신의 몸에서 발화가 가능한 사람들을 무엇이라고 부르나요?,3,74894.7,
ColBERT Rerank (Contextual Retrieval (DS(KoSimCSE-roberta-multitask+splade))),신라가 불을 일으킬 수 있는 신체 부위는?,3,81789.9,
ColBERT Rerank (Contextual Retrieval (DS(KoSimCSE-roberta-multitask+splade))),정병훈이 법무법인을 설립한 년도는 언제인가요?,3,78211.2,
ColBERT Rerank (Contextual Retrieval (DS(KoSimCSE-roberta-multitask+splade))),비첩자생 에센세를 만든 회사가 모델과 계약을 지속한 기간은?,3,72812.6,
ColBERT Rerank (Contextual Retrieval (DS(KoSimCSE-roberta-multitask+splade))),현재 김태희가 광고모델로 활동하고 있는 화장품 브랜드는 무엇인가?,3,75088.1,
ColBERT Rerank (Contextual Retrieval (DS(KoSimCSE-roberta-multitask+splade))),바키를 불합격하게 만든 제도는 누구를 위한 것이였나요?,3,78581.9,
ColBERT Rerank (Contextual Retrieval (DS(KoSimCSE-roberta-multitask+splade))),하루나 이틀이면 고객센터를 구성할 수 있어 비용을 절감할 수 있는 서비스의 이름은?,3,76810.7,
ColBERT Rerank (Contextual Retrieval (DS(KoSimCSE-roberta-multitask+splade))),28일 이사회를 연 회사가 주주총회는 여는 날짜는?,3,72607.0,
