strategy,query,num_results,latency_ms,error
ColBERT Rerank (Contextual Retrieval (DS(KoSimCSE-roberta-multitask+splade))),"시중은행, 지방은행, 인터넷은행의 인가 요건 및 절차에 차이가 있는데 그 차이점은 무엇인가요?",3,87727.6,
ColBERT Rerank (Contextual Retrieval (DS(KoSimCSE-roberta-multitask+splade))),본인가를 받으려는 지방은행이 시중은행 전환시 예비인가를 받을 필요가 있는지 설명하시오. 그리고 예비인가를 받지 않는다면 그 이유는 무엇인지 설명하시오.,3,94095.9,
ColBERT Rerank (Contextual Retrieval (DS(KoSimCSE-roberta-multitask+splade))),"은행법에 의거 예비인가를 신청할 수 있는지와, 그 경우 금융위원회가 검토했어야 하는 요건은 무엇인가요?",3,89190.1,
ColBERT Rerank (Contextual Retrieval (DS(KoSimCSE-roberta-multitask+splade))),"2023년 4/4분기 중에 한국은행이 유동성조절을 위해 취한 대응책들에는 어떤 것들이 있으며, 그 결과로 이루어진 지준공급의 변화는 어떤 모습이었나요?",3,86400.0,
ColBERT Rerank (Contextual Retrieval (DS(KoSimCSE-roberta-multitask+splade))),2024년도 한국은행의 대정부 일시대출금 한도와 대출조건을 결정하는 과정에서 보완된 대출 부대조건에 대해 설명하시오.,3,89789.7,
ColBERT Rerank (Contextual Retrieval (DS(KoSimCSE-roberta-multitask+splade))),"공개시장운영 대상기관으로 선정된 자산운용사가 본격적으로 작동하게 된다면, 초단기금리의 안정에 어떻게 기여할 것이라 예상되는지 설명해주세요.",3,93617.7,
ColBERT Rerank (Contextual Retrieval (DS(KoSimCSE-roberta-multitask+splade))),RP매매 시 대상증권의 배정 방식 개선과 이를 통한 운영리스크 축소 및 대상증권 활용도 제고 방안에 대해 설명하시오.,3,90900.3,
ColBERT Rerank (Contextual Retrieval (DS(KoSimCSE-roberta-multitask+splade))),2024년 한국의 GDP 성장률 전망과 주요 영향 요인들에 대해 설명해 주세요.,3,92365.0,
ColBERT Rerank (Contextual Retrieval (DS(KoSimCSE-roberta-multitask+splade))),"지난 2024년 2월에 기록된 소비자물가지수의 품목별 인플레이션 분포에서 1분위와 3분위의 수치는 각각 어떻게 되며, 이를 바탕으로 그 사분위거리를 계산하면 어떤 값이 나옵니까?",3,91529.1,
ColBERT Rerank (Contextual Retrieval (DS(KoSimCSE-roberta-multitask+splade))),2023년에 각국에서 실행된 시장왜곡 가능성 있는 산업정책 중에서 영향 받는 품목을 특정할 수 있는 정책의 수와 그러한 품목들이 차지하는 글로벌 교역 비중은 어떻게 되나요?,3,88708.9,
ColBERT Rerank (Contextual Retrieval (DS(KoSimCSE-roberta-multitask+splade))),"비은행 금융기관의 부동산 PF 대출 연체율 상승에 따른 미래적 영향은 무엇이며, 어떤 부문에 큰 영향이 예상되는가?",3,87458.7,
ColBERT Rerank (Contextual Retrieval (DS(KoSimCSE-roberta-multitask+splade))),미 연준은 어떠한 이유로 인해 금리인하를 결정하기에는 이른 시점이라고 평가하였나요? 또한 미 연준의 대차대조표 축소 정책에 대한 현재의 방침과 앞으로의 논의 방향은 어떠한가요?,3,92330.7,
ColBERT Rerank (Contextual Retrieval (DS(KoSimCSE-roberta-multitask+splade))),"특정 국가의 중앙은행들이 인플레이션 둔화에 대응하려 정책금리 동결을 결정했다고 본문에서 언급되어 있는데, 이들 국가들의 이름과 그와 관련된 주요 근거는 무엇인가요?",3,95936.1,
ColBERT Rerank (Contextual Retrieval (DS(KoSimCSE-roberta-multitask+splade))),"지방은행에서 시중은행으로의 전환 시 대법원의 처분 관련 선례가 어떻게 적용되는지, 그리고 이에 따른 심사 절차의 필요성에 대해 설명해주세요.",3,91255.3,
ColBERT Rerank (Contextual Retrieval (DS(KoSimCSE-roberta-multitask+splade))),"은행업 인가의 경우 예비인가를 거치는 이유와, 정상적으로 은행업을 영위하고 있는 지방은행이 시중은행으로 전환하려 할 때 예비인가의 필요성에 대해 설명해주세요.",3,90904.5,
ColBERT Rerank (Contextual Retrieval (DS(KoSimCSE-roberta-multitask+splade))),상생금융 과제 중 보험업권에서 중점적으로 추진하는 프로그램의 특징과 그로 인한 사회적 효과는 무엇인가요?,3,93812.8,
ColBERT Rerank (Contextual Retrieval (DS(KoSimCSE-roberta-multitask+splade))),"보험업권이 2024년상반기에 출시한 '보험소비자 민생안정특약'과 관련해 설명할 수 있는 내용은 무엇이며, 이와 별개로 '보험계약대출의 이자 납입유예'에 대한 신청이 가능한 경우는 어떤 경우인가?",3,94195.4,
ColBERT Rerank (Contextual Retrieval (DS(KoSimCSE-roberta-multitask+splade))),"저금리 대환 프로그램' 확대 개편의 주요 내용 중, 대출금리 인하의 최대 범위와 그 기간은 어떻게 되나요?",3,90381.1,
ColBERT Rerank (Contextual Retrieval (DS(KoSimCSE-roberta-multitask+splade))),핀테크 혁신펀드 투자로 기업가치가 크게 성장한 회사들의 예시와 그 성장 배율을 구체적으로 말해줄 수 있나요?,3,78661.1,
ColBERT Rerank (Contextual Retrieval (DS(KoSimCSE-roberta-multitask+splade))),"핀테크 혁신펀드 1호가 운용된 기간과 그 기간 동안의 투자 목표 금액, 실제 조성된 금액, 투자 완료된 금액은 각각 얼마인가요?",3,78728.2,
ColBERT Rerank (Contextual Retrieval (DS(KoSimCSE-roberta-multitask+splade))),현행 계약형 퇴직연금제도와 기금형 퇴직연금제도의 주요 차이점은 무엇인가요?,3,77716.3,
ColBERT Rerank (Contextual Retrieval (DS(KoSimCSE-roberta-multitask+splade))),"한국에서 퇴직연금제도가 시작된 유래가 어떠하며, DB제도와 DC제도가 기업과 노동자에게 어떠한 영향을 미치는지 설명해주세요.",3,75367.3,
ColBERT Rerank (Contextual Retrieval (DS(KoSimCSE-roberta-multitask+splade))),"2023년 국가재정운용계획 수립 절차 중, 분야별·지역별 예산협의회 및 간담회 개최 시기와 국회 제출 시기는 언제인가요?",3,76508.4,
ColBERT Rerank (Contextual Retrieval (DS(KoSimCSE-roberta-multitask+splade))),"불요불급한 자산을 처분하여 회수하는 자금은 어떻게 활용되는지, 그리고 공공기관의 재무건전성 관리 강화를 위해 '22~'26년 재정건전화계획 수정계획을 수립하는 것 외에 어떤 방법이 적용되는지 설명해주세요.",3,78807.3,
ColBERT Rerank (Contextual Retrieval (DS(KoSimCSE-roberta-multitask+splade))),"북한의 위협에 대응하기 위해 강화해야하는 한국형 3축체계와는 무엇이며, 이를 통해 향상시키려는 국방 분야의 세부적인 전투능력은 무엇인가요?",3,79202.3,
ColBERT Rerank (Contextual Retrieval (DS(KoSimCSE-roberta-multitask+splade))),사업비 정산에 대한 절차 중 국고지원금 집행 시점과 사업종료 후 발생이자에 대한 처리 방안에 대해서 설명하시오.,3,84221.6,
ColBERT Rerank (Contextual Retrieval (DS(KoSimCSE-roberta-multitask+splade))),"‘24년 대학혁신지원사업에 대한 성과평가용 자료 제출 및 성과평가 실시가 언제 예정되어있고, 이에 따른 사업비 확정 및 인센티브 지급 시기는 언제인가요?",3,86103.7,
ColBERT Rerank (Contextual Retrieval (DS(KoSimCSE-roberta-multitask+splade))),"2023년 국가안전시스템 개편에 대한 주요 성과와 함께, 이러한 개편을 통해 어떤 실질적인 훈련이 실시되었는지 설명해주세요.",3,89393.0,
ColBERT Rerank (Contextual Retrieval (DS(KoSimCSE-roberta-multitask+splade))),"고향사랑기부제 2.0에서는 어떤 방식으로 기부한도 상향 및 기부방식을 개선하고, 향후 어떤 제도개선이 연구되고 있는지 설명해주세요.",3,87697.3,
ColBERT Rerank (Contextual Retrieval (DS(KoSimCSE-roberta-multitask+splade))),"지방공공기관 구조개혁의 향후 계획으로 무엇이 제시되었으며, 이에 따르는 부채감축대상기관의 선정 기준은 무엇인가요?",3,92105.7,
ColBERT Rerank (Contextual Retrieval (DS(KoSimCSE-roberta-multitask+splade))),"앞으로 2024년까지 교체되어질 CCTV의 수는 얼마나 되며, 이것이 관제의 범위에 어떤 영향을 미칠 것으로 예상하는가?",3,92005.8,
