strategy,query,num_results,latency_ms,error
ColBERT Rerank (Contextual Retrieval (DS(KoSimCSE-roberta-multitask+korean_bm25))),신종 코로나바이러스란?,3,73708.1,
ColBERT Rerank (Contextual Retrieval (DS(KoSimCSE-roberta-multitask+korean_bm25))),"코로나바이러스 감염증 2019, COVID-19라 부르는 이유는 무엇입니까?",3,74197.1,
ColBERT Rerank (Contextual Retrieval (DS(KoSimCSE-roberta-multitask+korean_bm25))),왜 어떤 사람들은 COVID-19를 이유로 사람 또는 집단을 비난하거나 피하는 행동(사회적 낙인 찍기)을 하는 걸까요?,3,71799.4,
ColBERT Rerank (Contextual Retrieval (DS(KoSimCSE-roberta-multitask+korean_bm25))),COVID-19 관련된 사회적 낙인을 어떻게 멈출 수 있을까요?,3,70800.3,
ColBERT Rerank (Contextual Retrieval (DS(KoSimCSE-roberta-multitask+korean_bm25))),때때로 일부 주의 COVID-19 발생수가 CDC 웹사이트에 게시된 발생수와 다른 이유는 무엇입니까?,3,72806.3,
ColBERT Rerank (Contextual Retrieval (DS(KoSimCSE-roberta-multitask+korean_bm25))),CDC의 COVID-19 발생수는 WHO(세계보건기구) 또는 존홉킨스에서 제공하는 발생수와 어떻게 다릅니까?,3,73304.8,
ColBERT Rerank (Contextual Retrieval (DS(KoSimCSE-roberta-multitask+korean_bm25))),전날의 발생수가 증가하는 이유는 무엇입니까?,3,73980.6,
ColBERT Rerank (Contextual Retrieval (DS(KoSimCSE-roberta-multitask+korean_bm25))),이 바이러스의 발생원은 무엇입니까?,3,72303.3,
ColBERT Rerank (Contextual Retrieval (DS(KoSimCSE-roberta-multitask+korean_bm25))),이 바이러스는 어떻게 확산됩니까?,3,73207.7,
ColBERT Rerank (Contextual Retrieval (DS(KoSimCSE-roberta-multitask+korean_bm25))),왜 사례가 증가하고 있습니까?,3,64297.6,
ColBERT Rerank (Contextual Retrieval (DS(KoSimCSE-roberta-multitask+korean_bm25))),COVID-19에 걸린 사람이 다른 사람들에게 그 질병을 퍼뜨릴 수 있습니까?,3,71703.4,
ColBERT Rerank (Contextual Retrieval (DS(KoSimCSE-roberta-multitask+korean_bm25))),COVID-[#0]로 격리되었던 사람이 다른 사람을 전염시킬 수 있습니까?,3,71204.7,
ColBERT Rerank (Contextual Retrieval (DS(KoSimCSE-roberta-multitask+korean_bm25))),"COVID-19를 일으키는 바이러스는 식당 배달 음식, 냉장 또는 냉동 식품을 포함한 식품류를 통해 퍼질 수 있습니까?",3,73302.1,
