strategy,query,num_results,latency_ms,error
ColBERT Rerank (Contextual Retrieval (DS(embedding-query+korean_bm25))),북태평양 기단과 오호츠크해 기단이 만나 국내에 머무르는 기간은?,3,71169.4,
ColBERT Rerank (Contextual Retrieval (DS(embedding-query+korean_bm25))),지능형 생산자동화 기반기술을 개발중인 스타트업은?,3,69584.6,
ColBERT Rerank (Contextual Retrieval (DS(embedding-query+korean_bm25))),개막전에서 3안타 2실점을 기록해서 패한 선수는?,3,72418.3,
ColBERT Rerank (Contextual Retrieval (DS(embedding-query+korean_bm25))),컵라면 매출에서 불닭볶음면을 이긴 상품은?,3,72503.3,
ColBERT Rerank (Contextual Retrieval (DS(embedding-query+korean_bm25))),재작년 세븐일레븐 컵라면 중 제일 많이 팔린 제품은?,3,94010.1,
ColBERT Rerank (Contextual Retrieval (DS(embedding-query+korean_bm25))),정부에게 환경과 관련해서 우선적으로 원조 받고 있는 곳은?,3,69866.2,
ColBERT Rerank (Contextual Retrieval (DS(embedding-query+korean_bm25))),에티하드 웰니스 프로그램의 일환으로 위생에 관한 정보를 제공하는 것은 누구인가?,3,70315.1,
ColBERT Rerank (Contextual Retrieval (DS(embedding-query+korean_bm25))),에티하드항공이 최고의 이코노미 클래스 상을 두 번째로 받은 해는?,3,72202.4,
ColBERT Rerank (Contextual Retrieval (DS(embedding-query+korean_bm25))),2015년에 열렸던 AAAI에 논문을 개재한 사람의 소속 학교는?,3,69797.3,
ColBERT Rerank (Contextual Retrieval (DS(embedding-query+korean_bm25))),코로나19 심각 단계 선언 전에 계획했던 적벽의 마지막 공연일은?,3,84489.3,
ColBERT Rerank (Contextual Retrieval (DS(embedding-query+korean_bm25))),지난달 신임 임원 교육에서 강연했던 사람의 이름은?,3,82331.9,
ColBERT Rerank (Contextual Retrieval (DS(embedding-query+korean_bm25))),2020 카트라이더 리그 시즌2'의 결승전은 언제인가?,3,70375.4,
ColBERT Rerank (Contextual Retrieval (DS(embedding-query+korean_bm25))),삼성전자가 LCD 공장을 보유한 회사에 출자하는 금액은?,3,68491.4,
ColBERT Rerank (Contextual Retrieval (DS(embedding-query+korean_bm25))),삼성전자가 이번 투자로 샤프에서 공급받으려는 부품은 어떤 가전제품의 것인가?,3,72415.1,
ColBERT Rerank (Contextual Retrieval (DS(embedding-query+korean_bm25))),서울대학교 다음 총장으로 출마한 후보 수는?,3,70885.7,
ColBERT Rerank (Contextual Retrieval (DS(embedding-query+korean_bm25))),위안화 가치가 떨어질것이라고 예측한 곳은?,3,76283.5,
ColBERT Rerank (Contextual Retrieval (DS(embedding-query+korean_bm25))),WSJ의 전망을 부정한 은행은?,3,76719.6,
ColBERT Rerank (Contextual Retrieval (DS(embedding-query+korean_bm25))),자신의 몸에서 발화가 가능한 사람들을 무엇이라고 부르나요?,3,64888.8,
ColBERT Rerank (Contextual Retrieval (DS(embedding-query+korean_bm25))),신라가 불을 일으킬 수 있는 신체 부위는?,3,67005.9,
ColBERT Rerank (Contextual Retrieval (DS(embedding-query+korean_bm25))),정병훈이 법무법인을 설립한 년도는 언제인가요?,3,65300.5,
ColBERT Rerank (Contextual Retrieval (DS(embedding-query+korean_bm25))),비첩자생 에센세를 만든 회사가 모델과 계약을 지속한 기간은?,3,65195.9,
ColBERT Rerank (Contextual Retrieval (DS(embedding-query+korean_bm25))),현재 김태희가 광고모델로 활동하고 있는 화장품 브랜드는 무엇인가?,3,71314.3,
ColBERT Rerank (Contextual Retrieval (DS(embedding-query+korean_bm25))),바키를 불합격하게 만든 제도는 누구를 위한 것이였나요?,3,66377.5,
ColBERT Rerank (Contextual Retrieval (DS(embedding-query+korean_bm25))),하루나 이틀이면 고객센터를 구성할 수 있어 비용을 절감할 수 있는 서비스의 이름은?,3,57501.0,
ColBERT Rerank (Contextual Retrieval (DS(embedding-query+korean_bm25))),28일 이사회를 연 회사가 주주총회는 여는 날짜는?,3,60096.7,
ColBERT Rerank (Contextual Retrieval (DS(embedding-query+korean_bm25))),양 은행의 주식을 보유한 사람이 가진 법적 권리는?,3,57804.3,
ColBERT Rerank (Contextual Retrieval (DS(embedding-query+korean_bm25))),50%를 포인트로 돌려받는 결제 금액에 포함되지 않는 금액은?,3,60703.4,
ColBERT Rerank (Contextual Retrieval (DS(embedding-query+korean_bm25))),<존 윅>의 장르는?,3,61483.3,
ColBERT Rerank (Contextual Retrieval (DS(embedding-query+korean_bm25))),은미희가 《누에는 고치 속에서 무슨 꿈을 꾸는가》로 상을 받기 전에 연습 삼아 소설을 집필했던 기간은?,3,69712.9,
ColBERT Rerank (Contextual Retrieval (DS(embedding-query+korean_bm25))),JT캐피탈의 모회사 이름은?,3,70609.2,
ColBERT Rerank (Contextual Retrieval (DS(embedding-query+korean_bm25))),한국에 TAC 필름을 수출하는 국가는?,3,72205.5,
ColBERT Rerank (Contextual Retrieval (DS(embedding-query+korean_bm25))),밀풍군 탄의 아들이 김씨의 양자가 된 해는?,3,70658.7,
ColBERT Rerank (Contextual Retrieval (DS(embedding-query+korean_bm25))),통신분야의 상생협력이 필요하다고 말한 사람의 이름은?,3,71025.3,
ColBERT Rerank (Contextual Retrieval (DS(embedding-query+korean_bm25))),현재 가입비가 가장 저럼한 곳은?,3,72120.8,
ColBERT Rerank (Contextual Retrieval (DS(embedding-query+korean_bm25))),최재수는 2012년에 어디로 이적했는가?,3,76705.4,
ColBERT Rerank (Contextual Retrieval (DS(embedding-query+korean_bm25))),2012년 당시 곽태휘의 소속팀은?,3,79292.5,
ColBERT Rerank (Contextual Retrieval (DS(embedding-query+korean_bm25))),지원이 한번에 중단되는 중견기업보다 중소기업을 선호하는 현상을 무엇이라 하는가?,3,75198.3,
ColBERT Rerank (Contextual Retrieval (DS(embedding-query+korean_bm25))),던힐 홈이 처음 개장한 연도는?,3,78997.8,
ColBERT Rerank (Contextual Retrieval (DS(embedding-query+korean_bm25))),원화가 주요 통화에 대해 강세를 보여 기업들에게 피해를 주는 상황을 일컫는 말은?,3,79595.9,
ColBERT Rerank (Contextual Retrieval (DS(embedding-query+korean_bm25))),제4이동통신이 되기 위해 3사가 제출한 것은?,3,79504.6,
ColBERT Rerank (Contextual Retrieval (DS(embedding-query+korean_bm25))),상가보다 낮은 투자수익률을 보인 수익형 부동산의 연 투자수익률은?,3,79406.9,
ColBERT Rerank (Contextual Retrieval (DS(embedding-query+korean_bm25))),네드 핸런 감독은 맥그로를 어떤 포지션에 배치시켰는가?,3,79482.0,
ColBERT Rerank (Contextual Retrieval (DS(embedding-query+korean_bm25))),주종찬이 그의 손에서 나오는 피로 쓴 글자는?,3,75605.2,
ColBERT Rerank (Contextual Retrieval (DS(embedding-query+korean_bm25))),2020년은 쏘카가 탄생한지 몇 년 차인가?,3,72802.7,
ColBERT Rerank (Contextual Retrieval (DS(embedding-query+korean_bm25))),음실압의 환기시스템에서 틈새는 어디에 위치하고 있는가?,3,75895.1,
ColBERT Rerank (Contextual Retrieval (DS(embedding-query+korean_bm25))),나라에서 군인들을 뽑아 만든 군대를 통솔하는 우두머리는 누구인가?,3,73590.4,
ColBERT Rerank (Contextual Retrieval (DS(embedding-query+korean_bm25))),국가가 군인 징병시 주민을 찾아 군복무에 적합한지를 파악하는데 필요한 것은?,3,89509.1,
ColBERT Rerank (Contextual Retrieval (DS(embedding-query+korean_bm25))),10kg기준 토마토의 1개월 전 가격은?,3,86503.5,
ColBERT Rerank (Contextual Retrieval (DS(embedding-query+korean_bm25))),이시형 박사는 실명보다 더 유명한 닉네임을 가지고 있는데 무엇인가?,3,78603.5,
ColBERT Rerank (Contextual Retrieval (DS(embedding-query+korean_bm25))),"바뀐 10%룰에 의하면, 국민연금은 특정종목에 관해 매매 이후 언제까지만 보고하면 되는가?",3,75374.4,
ColBERT Rerank (Contextual Retrieval (DS(embedding-query+korean_bm25))),통합 삼성물산의 지분을 가장 많이 갖게 될 사람의 이름은?,3,72526.0,
ColBERT Rerank (Contextual Retrieval (DS(embedding-query+korean_bm25))),로스 수장이 살해한 사람은 어느 당 회원인가?,3,76098.0,
ColBERT Rerank (Contextual Retrieval (DS(embedding-query+korean_bm25))),존 릿지는 누구와 정치적인 힘겨루기를 하였나?,3,79447.8,
