strategy,query,num_results,latency_ms,error
ColBERT Rerank (Contextual Retrieval (DS(bge-m3+splade))),북태평양 기단과 오호츠크해 기단이 만나 국내에 머무르는 기간은?,3,93391.6,
ColBERT Rerank (Contextual Retrieval (DS(bge-m3+splade))),지능형 생산자동화 기반기술을 개발중인 스타트업은?,3,87295.1,
ColBERT Rerank (Contextual Retrieval (DS(bge-m3+splade))),개막전에서 3안타 2실점을 기록해서 패한 선수는?,3,85590.0,
ColBERT Rerank (Contextual Retrieval (DS(bge-m3+splade))),컵라면 매출에서 불닭볶음면을 이긴 상품은?,3,94476.6,
ColBERT Rerank (Contextual Retrieval (DS(bge-m3+splade))),재작년 세븐일레븐 컵라면 중 제일 많이 팔린 제품은?,3,96140.4,
ColBERT Rerank (Contextual Retrieval (DS(bge-m3+splade))),정부에게 환경과 관련해서 우선적으로 원조 받고 있는 곳은?,3,86185.5,
ColBERT Rerank (Contextual Retrieval (DS(bge-m3+splade))),에티하드 웰니스 프로그램의 일환으로 위생에 관한 정보를 제공하는 것은 누구인가?,3,89201.4,
ColBERT Rerank (Contextual Retrieval (DS(bge-m3+splade))),에티하드항공이 최고의 이코노미 클래스 상을 두 번째로 받은 해는?,3,90816.4,
ColBERT Rerank (Contextual Retrieval (DS(bge-m3+splade))),2015년에 열렸던 AAAI에 논문을 개재한 사람의 소속 학교는?,3,100084.1,
ColBERT Rerank (Contextual Retrieval (DS(bge-m3+splade))),코로나19 심각 단계 선언 전에 계획했던 적벽의 마지막 공연일은?,3,86210.7,
ColBERT Rerank (Contextual Retrieval (DS(bge-m3+splade))),지난달 신임 임원 교육에서 강연했던 사람의 이름은?,3,93701.7,
ColBERT Rerank (Contextual Retrieval (DS(bge-m3+splade))),2020 카트라이더 리그 시즌2'의 결승전은 언제인가?,3,98840.5,
ColBERT Rerank (Contextual Retrieval (DS(bge-m3+splade))),삼성전자가 LCD 공장을 보유한 회사에 출자하는 금액은?,3,92493.1,
ColBERT Rerank (Contextual Retrieval (DS(bge-m3+splade))),삼성전자가 이번 투자로 샤프에서 공급받으려는 부품은 어떤 가전제품의 것인가?,3,94810.6,
ColBERT Rerank (Contextual Retrieval (DS(bge-m3+splade))),서울대학교 다음 총장으로 출마한 후보 수는?,3,96710.7,
ColBERT Rerank (Contextual Retrieval (DS(bge-m3+splade))),위안화 가치가 떨어질것이라고 예측한 곳은?,3,98389.1,
ColBERT Rerank (Contextual Retrieval (DS(bge-m3+splade))),WSJ의 전망을 부정한 은행은?,3,94004.9,
ColBERT Rerank (Contextual Retrieval (DS(bge-m3+splade))),자신의 몸에서 발화가 가능한 사람들을 무엇이라고 부르나요?,3,110007.5,
ColBERT Rerank (Contextual Retrieval (DS(bge-m3+splade))),신라가 불을 일으킬 수 있는 신체 부위는?,3,95694.4,
ColBERT Rerank (Contextual Retrieval (DS(bge-m3+splade))),정병훈이 법무법인을 설립한 년도는 언제인가요?,3,96712.3,
ColBERT Rerank (Contextual Retrieval (DS(bge-m3+splade))),비첩자생 에센세를 만든 회사가 모델과 계약을 지속한 기간은?,3,99903.1,
ColBERT Rerank (Contextual Retrieval (DS(bge-m3+splade))),현재 김태희가 광고모델로 활동하고 있는 화장품 브랜드는 무엇인가?,3,98039.9,
ColBERT Rerank (Contextual Retrieval (DS(bge-m3+splade))),바키를 불합격하게 만든 제도는 누구를 위한 것이였나요?,3,97317.0,
ColBERT Rerank (Contextual Retrieval (DS(bge-m3+splade))),하루나 이틀이면 고객센터를 구성할 수 있어 비용을 절감할 수 있는 서비스의 이름은?,3,93158.6,
ColBERT Rerank (Contextual Retrieval (DS(bge-m3+splade))),28일 이사회를 연 회사가 주주총회는 여는 날짜는?,3,95275.8,
ColBERT Rerank (Contextual Retrieval (DS(bge-m3+splade))),양 은행의 주식을 보유한 사람이 가진 법적 권리는?,3,96292.8,
ColBERT Rerank (Contextual Retrieval (DS(bge-m3+splade))),50%를 포인트로 돌려받는 결제 금액에 포함되지 않는 금액은?,3,90115.5,
ColBERT Rerank (Contextual Retrieval (DS(bge-m3+splade))),<존 윅>의 장르는?,3,99981.9,
ColBERT Rerank (Contextual Retrieval (DS(bge-m3+splade))),은미희가 《누에는 고치 속에서 무슨 꿈을 꾸는가》로 상을 받기 전에 연습 삼아 소설을 집필했던 기간은?,3,97318.4,
ColBERT Rerank (Contextual Retrieval (DS(bge-m3+splade))),JT캐피탈의 모회사 이름은?,3,94756.6,
ColBERT Rerank (Contextual Retrieval (DS(bge-m3+splade))),한국에 TAC 필름을 수출하는 국가는?,3,99758.6,
ColBERT Rerank (Contextual Retrieval (DS(bge-m3+splade))),밀풍군 탄의 아들이 김씨의 양자가 된 해는?,3,100067.0,
ColBERT Rerank (Contextual Retrieval (DS(bge-m3+splade))),통신분야의 상생협력이 필요하다고 말한 사람의 이름은?,3,96706.2,
ColBERT Rerank (Contextual Retrieval (DS(bge-m3+splade))),현재 가입비가 가장 저럼한 곳은?,3,92004.3,
ColBERT Rerank (Contextual Retrieval (DS(bge-m3+splade))),최재수는 2012년에 어디로 이적했는가?,3,99585.8,
ColBERT Rerank (Contextual Retrieval (DS(bge-m3+splade))),2012년 당시 곽태휘의 소속팀은?,3,106494.9,
ColBERT Rerank (Contextual Retrieval (DS(bge-m3+splade))),지원이 한번에 중단되는 중견기업보다 중소기업을 선호하는 현상을 무엇이라 하는가?,3,96314.9,
ColBERT Rerank (Contextual Retrieval (DS(bge-m3+splade))),던힐 홈이 처음 개장한 연도는?,3,101391.9,
ColBERT Rerank (Contextual Retrieval (DS(bge-m3+splade))),원화가 주요 통화에 대해 강세를 보여 기업들에게 피해를 주는 상황을 일컫는 말은?,3,103401.3,
ColBERT Rerank (Contextual Retrieval (DS(bge-m3+splade))),제4이동통신이 되기 위해 3사가 제출한 것은?,3,91786.4,
ColBERT Rerank (Contextual Retrieval (DS(bge-m3+splade))),상가보다 낮은 투자수익률을 보인 수익형 부동산의 연 투자수익률은?,3,103209.6,
ColBERT Rerank (Contextual Retrieval (DS(bge-m3+splade))),네드 핸런 감독은 맥그로를 어떤 포지션에 배치시켰는가?,3,93101.7,
ColBERT Rerank (Contextual Retrieval (DS(bge-m3+splade))),주종찬이 그의 손에서 나오는 피로 쓴 글자는?,3,93445.4,
ColBERT Rerank (Contextual Retrieval (DS(bge-m3+splade))),2020년은 쏘카가 탄생한지 몇 년 차인가?,3,89156.1,
ColBERT Rerank (Contextual Retrieval (DS(bge-m3+splade))),음실압의 환기시스템에서 틈새는 어디에 위치하고 있는가?,3,98305.1,
