strategy,query,num_results,latency_ms,error
ColBERT Rerank (Contextual Retrieval (DS(embedding-query+splade))),신종 코로나바이러스란?,3,66605.8,
ColBERT Rerank (Contextual Retrieval (DS(embedding-query+splade))),"코로나바이러스 감염증 2019, COVID-19라 부르는 이유는 무엇입니까?",3,65487.1,
ColBERT Rerank (Contextual Retrieval (DS(embedding-query+splade))),왜 어떤 사람들은 COVID-19를 이유로 사람 또는 집단을 비난하거나 피하는 행동(사회적 낙인 찍기)을 하는 걸까요?,3,62095.6,
ColBERT Rerank (Contextual Retrieval (DS(embedding-query+splade))),COVID-19 관련된 사회적 낙인을 어떻게 멈출 수 있을까요?,3,63202.3,
ColBERT Rerank (Contextual Retrieval (DS(embedding-query+splade))),때때로 일부 주의 COVID-19 발생수가 CDC 웹사이트에 게시된 발생수와 다른 이유는 무엇입니까?,3,55494.5,
ColBERT Rerank (Contextual Retrieval (DS(embedding-query+splade))),CDC의 COVID-19 발생수는 WHO(세계보건기구) 또는 존홉킨스에서 제공하는 발생수와 어떻게 다릅니까?,3,66089.1,
ColBERT Rerank (Contextual Retrieval (DS(embedding-query+splade))),전날의 발생수가 증가하는 이유는 무엇입니까?,3,59488.1,
ColBERT Rerank (Contextual Retrieval (DS(embedding-query+splade))),이 바이러스의 발생원은 무엇입니까?,3,64312.0,
ColBERT Rerank (Contextual Retrieval (DS(embedding-query+splade))),이 바이러스는 어떻게 확산됩니까?,3,58095.8,
ColBERT Rerank (Contextual Retrieval (DS(embedding-query+splade))),왜 사례가 증가하고 있습니까?,3,53877.3,
ColBERT Rerank (Contextual Retrieval (DS(embedding-query+splade))),COVID-19에 걸린 사람이 다른 사람들에게 그 질병을 퍼뜨릴 수 있습니까?,3,54919.0,
ColBERT Rerank (Contextual Retrieval (DS(embedding-query+splade))),COVID-[#0]로 격리되었던 사람이 다른 사람을 전염시킬 수 있습니까?,3,56783.0,
ColBERT Rerank (Contextual Retrieval (DS(embedding-query+splade))),"COVID-19를 일으키는 바이러스는 식당 배달 음식, 냉장 또는 냉동 식품을 포함한 식품류를 통해 퍼질 수 있습니까?",3,55482.3,
ColBERT Rerank (Contextual Retrieval (DS(embedding-query+splade))),바이러스가 음식에 있는 경우 COVID-19에 걸릴 수 있나요?,3,55626.5,
ColBERT Rerank (Contextual Retrieval (DS(embedding-query+splade))),따뜻한 날씨가 COVID-19의 발병을 막을 수 있습니까?,3,56304.9,
ColBERT Rerank (Contextual Retrieval (DS(embedding-query+splade))),지역사회 감염이란 무엇입니까?,3,56302.6,
ColBERT Rerank (Contextual Retrieval (DS(embedding-query+splade))),COVID-19를 유발하는 바이러스는 어떤 온도에서 죽습니까?,3,56296.1,
ColBERT Rerank (Contextual Retrieval (DS(embedding-query+splade))),모기나 진드기가 COVID-19를 일으키는 바이러스를 퍼뜨릴 수 있을까요?,3,55894.5,
ColBERT Rerank (Contextual Retrieval (DS(embedding-query+splade))),나는 미국 내 COVID-19의 위험에 처해 있습니까?,3,57502.5,
ColBERT Rerank (Contextual Retrieval (DS(embedding-query+splade))),미국에서 얼마나 많은 사례가 보고되었습니까?,3,54414.7,
ColBERT Rerank (Contextual Retrieval (DS(embedding-query+splade))),어떻게 하면 스스로를 보호할 수 있습니까?,3,56792.0,
ColBERT Rerank (Contextual Retrieval (DS(embedding-query+splade))),COVID-19에 걸린 사람과 밀접 접촉했다면 어떻게 해야 합니까?,3,54092.0,
ColBERT Rerank (Contextual Retrieval (DS(embedding-query+splade))),CDC에서는 COVID-19를 예방하기 위해 마스크나 얼굴 가리개 사용을 권장합니까?,3,56986.8,
ColBERT Rerank (Contextual Retrieval (DS(embedding-query+splade))),중국에서 배달되어 온 택배 물건이나 상품으로 인해 COVID-19에 노출될 위험이 있습니까?,3,58916.9,
ColBERT Rerank (Contextual Retrieval (DS(embedding-query+splade))),헌혈을 해도 됩니까?,3,68703.4,
ColBERT Rerank (Contextual Retrieval (DS(embedding-query+splade))),콘택트렌즈 착용자는 COVID-19 예방을 위해 특별한 조치를 취해야 하나요?,3,68603.5,
ColBERT Rerank (Contextual Retrieval (DS(embedding-query+splade))),콘택트렌즈 소독액이 COVID-19 방지에 효과가 있나요?,3,61986.8,
ColBERT Rerank (Contextual Retrieval (DS(embedding-query+splade))),아이들이 COVID-19로 아프게 될 위험은 어느 정도입니까?,3,62110.0,
