strategy,query,num_results,latency_ms,error
FlashRank Rerank (Contextual Retrieval (DS(bge-m3+korean_bm25))),"A가 개발한 이 사건 성능조절기능이 탑재된 J 버전 업데이트는 언제 배포되었고, 이를 사용자에게 어떠한 이유로 설명하였나요?",3,44295.5,
FlashRank Rerank (Contextual Retrieval (DS(bge-m3+korean_bm25))),본 문서에서 언급된 피고 A가 고객에게 고지하지 않았던 C의 성능저하 사실은 어떠한 법률적 책임을 위반한 것으로 제기되었나요?,3,50798.0,
FlashRank Rerank (Contextual Retrieval (DS(bge-m3+korean_bm25))),소비자기본법에서 규정하는 사업자의 책무는 어떠한 것들이 있나요?,3,52288.8,
FlashRank Rerank (Contextual Retrieval (DS(bge-m3+korean_bm25))),피고 A에게 신의성실의 원칙상 고지의무 혹은 설명의무를 인정해야 하는 이유는 무엇인가?,3,47719.8,
FlashRank Rerank (Contextual Retrieval (DS(bge-m3+korean_bm25))),원고가 뇌물공여죄와 특정범죄가중처벌등에관한 법률위반(알선수재)죄로 처벌받게 된 과정과 그로 인해 피고가 원고에 대해 어떤 처분을 내렸는지 상세하게 설명하시오.,3,46782.4,
FlashRank Rerank (Contextual Retrieval (DS(bge-m3+korean_bm25))),"피고의 주장에 따르면 원고의 알선수재죄는 어떤 사안에 대한 것이며, 이는 언제 성립되었다고 주장하는가?",3,45108.1,
FlashRank Rerank (Contextual Retrieval (DS(bge-m3+korean_bm25))),공무원연금법 제65조 제1항 제1호의 규정 취지는 어떠한가요?,3,47192.1,
FlashRank Rerank (Contextual Retrieval (DS(bge-m3+korean_bm25))),공무원연금법 제65조 제1항 제1호에 의한 퇴직연금 등의 감액 요건은 무엇인가요?,3,89327.5,
FlashRank Rerank (Contextual Retrieval (DS(bge-m3+korean_bm25))),"환수금을 내야 할 사람이 기한까지 내지 않을 경우 연체이자는 어떻게 산정되며, 그 연체이자의 계산기간은 어떻게 정해지는가?",3,48413.5,
FlashRank Rerank (Contextual Retrieval (DS(bge-m3+korean_bm25))),"특정범죄 가중처벌 등에 관한 법률 제3조에 따르면, 공무원의 직무와 관련해 알선을 맡고 금품이나 이익을 수수, 약속, 혹은 요구한 사람에게 어떠한 벌이 부과되나요?",3,46990.5,
FlashRank Rerank (Contextual Retrieval (DS(bge-m3+korean_bm25))),원심이 판단하였던 D과 E 사이의 대화는 어떠한 관점에서 보았을 때 '공개되지 아니한 타인 간의 대화'에 해당한다고 판단되었나요?,3,48100.6,
FlashRank Rerank (Contextual Retrieval (DS(bge-m3+korean_bm25))),"피고인의 주장이 맞다고 가정하면, B시청 C 사무공간에서 이루어진 D과 E 사이의 대화가 공개 된 것으로 간주될 수 있는 이유는 무엇인가요?",3,46886.5,
FlashRank Rerank (Contextual Retrieval (DS(bge-m3+korean_bm25))),청탁금지법상에서 1회에 받는 사교 등 목적 선물의 가액은 어느 정도로 제한되어 있는가?,3,47976.5,
FlashRank Rerank (Contextual Retrieval (DS(bge-m3+korean_bm25))),"원고의 주요 사업 중 하나로 언급된 'A'가상자산 거래소는 언제 설립되었으며, 어떤 비거주자 회원들에 대한 가상자산 거래로 인한 차익을 지급하면서 있었던 문제는 무엇이었나요?",3,53994.1,
FlashRank Rerank (Contextual Retrieval (DS(bge-m3+korean_bm25))),"조세법률주의 원칙상 해석에 대한 제약사항은 무엇이며, 소득세법은 어떤 방식을 택하였는지 설명해보세요.",3,55515.1,
FlashRank Rerank (Contextual Retrieval (DS(bge-m3+korean_bm25))),"가상자산소득에 대한 개정 소득세법 제21조 제1항 제27호, 제119조 제12호 타목의 적용 시기가 최종적으로 언제로 유예되었는가?",3,63443.4,
FlashRank Rerank (Contextual Retrieval (DS(bge-m3+korean_bm25))),"제127조에 언급된 원천징수의무라는 것은 어떤 경우에 적용되며, 그 종류에는 어떤 것들이 있는가?",3,52339.3,
FlashRank Rerank (Contextual Retrieval (DS(bge-m3+korean_bm25))),구 관세법 시행령 제19조 제2항에서 권리사용료를 수입물품의 관세 과세가격에 가산하기 위한 요건은 무엇인가요?,3,46124.7,
FlashRank Rerank (Contextual Retrieval (DS(bge-m3+korean_bm25))),국세기본법 제14조 제2항에서 언급하는 과세표준의 계산에 관한 규정이 어떠한 실질내용에 따라 적용되어야 하는지 그 내용을 설명하시오.,3,47994.0,
FlashRank Rerank (Contextual Retrieval (DS(bge-m3+korean_bm25))),"관세법 시행령 제19조 제3항 제1호 다목, 제2호는 어떠한 상황에서 권리사용료가 해당 물품과 관련된 것으로 간주하는가?",3,44386.5,
FlashRank Rerank (Contextual Retrieval (DS(bge-m3+korean_bm25))),제1 라이선스 계약의 '기타 지적재산권'이 포함하는 것은 무엇인가요?,3,63503.4,
FlashRank Rerank (Contextual Retrieval (DS(bge-m3+korean_bm25))),"구 관세법 제30조에 따르면, 과세가격은 어떤 가격에 어떤 단계를 통해 조정되는 거래가격인가요?",3,42293.9,
FlashRank Rerank (Contextual Retrieval (DS(bge-m3+korean_bm25))),"원고가 특허청 심사관의 재심사 결과에 불복하여 취소심판을 청구한 날짜는 언제이며, 그에 따른 특허심판원의 결정은 어떻게 내려졌나요?",3,42811.5,
FlashRank Rerank (Contextual Retrieval (DS(bge-m3+korean_bm25))),"2023년부터 소득세법에 따른 출산 및 육아에 대한 세제지원이 강화되었는데, 6세 이하 자녀가 받는 보육수당의 비과세 한도는 어떻게 변경되었나요?",3,43921.0,
