strategy,query,num_results,latency_ms,error
FlashRank Rerank (Contextual Retrieval (DS(KoSimCSE-roberta-multitask+korean_bm25))),BPM 거버넌스: 공공 기관에서의 탐색적 연구,3,35288.4,
FlashRank Rerank (Contextual Retrieval (DS(KoSimCSE-roberta-multitask+korean_bm25))),자동차 도메인을 위한 정보 보안 프레임워크를 향하여,3,37396.7,
FlashRank Rerank (Contextual Retrieval (DS(KoSimCSE-roberta-multitask+korean_bm25))),비디오 행동 인식을 위한 반지도 이미지-비디오 적응,3,36296.7,
FlashRank Rerank (Contextual Retrieval (DS(KoSimCSE-roberta-multitask+korean_bm25))),지속 가능한 비즈니스 관행의 조직적 채택을 촉진하는 요인과 장애물,3,36312.8,
FlashRank Rerank (Contextual Retrieval (DS(KoSimCSE-roberta-multitask+korean_bm25))), emergence의 리더십: 조직의 연속적인 수준에서 발생하는 복잡계 리더십 이론,3,36689.7,
FlashRank Rerank (Contextual Retrieval (DS(KoSimCSE-roberta-multitask+korean_bm25))),목표 조건화 정책 실행 가능한 표현 학습,3,37183.2,
FlashRank Rerank (Contextual Retrieval (DS(KoSimCSE-roberta-multitask+korean_bm25))),MVTec ITODD 소개 — 산업용 3D 객체 인식을 위한 데이터셋,3,36100.5,
FlashRank Rerank (Contextual Retrieval (DS(KoSimCSE-roberta-multitask+korean_bm25))),부분적 가림 상황에서 HMM과 얼굴 엣지 길이 모델을 이용한 얼굴 인식,3,34202.1,
FlashRank Rerank (Contextual Retrieval (DS(KoSimCSE-roberta-multitask+korean_bm25))),컴퓨터가 생성한 이야기 맥락 속에서의 질의 응답은 무엇인가?,3,36298.9,
FlashRank Rerank (Contextual Retrieval (DS(KoSimCSE-roberta-multitask+korean_bm25))),이기종 무선 네트워크에서 사용자 이동성의 확률적 기하학적 분석,3,33808.6,
FlashRank Rerank (Contextual Retrieval (DS(KoSimCSE-roberta-multitask+korean_bm25))),대학에서 페이스북을 상호작용적 학습 자원으로 사용하는 것에 대한 학생들의 인식은?,3,34389.7,
FlashRank Rerank (Contextual Retrieval (DS(KoSimCSE-roberta-multitask+korean_bm25))),거래의 장벽을 깨다: 교차거래 연관 규칙 마이닝,3,35312.2,
FlashRank Rerank (Contextual Retrieval (DS(KoSimCSE-roberta-multitask+korean_bm25))),추적 레이더를 위한 제어 이론적 접근: 인지로 향한 첫걸음,3,33786.4,
FlashRank Rerank (Contextual Retrieval (DS(KoSimCSE-roberta-multitask+korean_bm25))),운영적 유연성과 재무 헤징: 보완재인가 대체재인가?,3,34201.8,
FlashRank Rerank (Contextual Retrieval (DS(KoSimCSE-roberta-multitask+korean_bm25))),학생의 학업 성공을 예측하기 위한 의사결정나무,3,35513.3,
FlashRank Rerank (Contextual Retrieval (DS(KoSimCSE-roberta-multitask+korean_bm25))),합성곱 신경망을 이용한 텍스처 생성,3,37290.0,
FlashRank Rerank (Contextual Retrieval (DS(KoSimCSE-roberta-multitask+korean_bm25))),SMOTE-GPU: 불균형 분류를 위한 상용 하드웨어에서의 빅데이터 전처리,3,36209.9,
FlashRank Rerank (Contextual Retrieval (DS(KoSimCSE-roberta-multitask+korean_bm25))),소아에서 피나스테리드로 치료한 피부선염의 사례 보고,3,38605.6,
FlashRank Rerank (Contextual Retrieval (DS(KoSimCSE-roberta-multitask+korean_bm25))),인지 장애가 있는 사람들의 건강 관리 및 일상생활 활동 패턴 분석을 위한 홈 센서와 기계 학습 기법 활용,3,37482.7,
FlashRank Rerank (Contextual Retrieval (DS(KoSimCSE-roberta-multitask+korean_bm25))),포레스트-투-시퀀스 모델을 이용한 신경 기계 번역에서 구문적 불확실성 통합,3,38225.1,
FlashRank Rerank (Contextual Retrieval (DS(KoSimCSE-roberta-multitask+korean_bm25))),비사실형 답변 순위 학습 웹 포럼 댓글 선택 방법은 무엇인가?,3,37499.9,
FlashRank Rerank (Contextual Retrieval (DS(KoSimCSE-roberta-multitask+korean_bm25))),신형 DC-DC 다단계 부스트 컨버터,3,37772.1,
FlashRank Rerank (Contextual Retrieval (DS(KoSimCSE-roberta-multitask+korean_bm25))),로봇 제어를 위한 구조적 기반으로서의 어포던스 연구,3,37598.3,
FlashRank Rerank (Contextual Retrieval (DS(KoSimCSE-roberta-multitask+korean_bm25))),현대 표준 아랍어의 주관성 및 감정 분석,3,35415.4,
FlashRank Rerank (Contextual Retrieval (DS(KoSimCSE-roberta-multitask+korean_bm25))),RFID 시스템을 위한 원형 편파를 가진 평면 광대역 고리형 링 안테나,3,38806.0,
FlashRank Rerank (Contextual Retrieval (DS(KoSimCSE-roberta-multitask+korean_bm25))),생성적 적대 신경망을 이용한 사진처럼 실감나는 단일 이미지 초해상도 기술,3,40010.0,
FlashRank Rerank (Contextual Retrieval (DS(KoSimCSE-roberta-multitask+korean_bm25))),컨텍스트 공유 기능을 통한 사물인터넷 환경을 위한 컨텍스트 인식 보안 제공,3,36006.3,
FlashRank Rerank (Contextual Retrieval (DS(KoSimCSE-roberta-multitask+korean_bm25))),마이크로소프트 키넥트와 비콘 3D 모션 캡처의 보행 분석을 위한 비교 능력,3,37398.6,
FlashRank Rerank (Contextual Retrieval (DS(KoSimCSE-roberta-multitask+korean_bm25))),루트 권한 악용 탐지 및 기능 최적화: 모바일 기기 및 블록체인 기반 의료 데이터 관리,3,37503.7,
FlashRank Rerank (Contextual Retrieval (DS(KoSimCSE-roberta-multitask+korean_bm25))),FingerCode: 지문 표현 및 매칭을 위한 필터뱅크,3,35494.3,
FlashRank Rerank (Contextual Retrieval (DS(KoSimCSE-roberta-multitask+korean_bm25))),사이클 내 병렬성을 활용한 집계 가속화,3,34320.7,
FlashRank Rerank (Contextual Retrieval (DS(KoSimCSE-roberta-multitask+korean_bm25))),라즈베리 파이를 사용한 사물인터넷 기반 자율형 지능형 관개 시스템,3,37091.9,
FlashRank Rerank (Contextual Retrieval (DS(KoSimCSE-roberta-multitask+korean_bm25))),침입 탐지: 서포트 벡터 머신과 신경망,3,37192.0,
FlashRank Rerank (Contextual Retrieval (DS(KoSimCSE-roberta-multitask+korean_bm25))),뉴스에서 은행의 어려움: 딥러닝을 통한 사건 설명,3,38307.4,
FlashRank Rerank (Contextual Retrieval (DS(KoSimCSE-roberta-multitask+korean_bm25))),자율주행차에 운전면허를 발급할 수 있을까?,3,37409.8,
FlashRank Rerank (Contextual Retrieval (DS(KoSimCSE-roberta-multitask+korean_bm25))),비트코인 거래 개인정보 보호 강화를 위한 링크 불가능한 코인 믹싱 방식,3,38224.9,
FlashRank Rerank (Contextual Retrieval (DS(KoSimCSE-roberta-multitask+korean_bm25))),SynopSys: 요약을 통한 SAP HANA 데이터베이스에서의 대규모 그래프 분석,3,36277.2,
FlashRank Rerank (Contextual Retrieval (DS(KoSimCSE-roberta-multitask+korean_bm25))),비볼록 최적화의 빠른 수렴을 위한 분산 감소,3,37125.2,
FlashRank Rerank (Contextual Retrieval (DS(KoSimCSE-roberta-multitask+korean_bm25))),이동 중 위성 통신을 위한 스마트 안테나,3,37221.5,
FlashRank Rerank (Contextual Retrieval (DS(KoSimCSE-roberta-multitask+korean_bm25))),촐레스키 분해를 기반으로 한 빠른 희소 가우시안 마르코프 임의장 학습,3,36376.5,
FlashRank Rerank (Contextual Retrieval (DS(KoSimCSE-roberta-multitask+korean_bm25))),기본 전자 부품을 사용한 고급 디지털 심박수 모니터 설계,3,34902.0,
FlashRank Rerank (Contextual Retrieval (DS(KoSimCSE-roberta-multitask+korean_bm25))),다중 에너지 소스 수확 시스템에 대한 조사,3,38301.6,
FlashRank Rerank (Contextual Retrieval (DS(KoSimCSE-roberta-multitask+korean_bm25))),믿을 것은 무엇인가: 데이터 분석을 위한 베이지안 방법,3,38814.7,
FlashRank Rerank (Contextual Retrieval (DS(KoSimCSE-roberta-multitask+korean_bm25))),DeepFood: 컴퓨터 보조 식이 평가를 위한 딥러닝 기반 음식 이미지 인식,3,36579.3,
FlashRank Rerank (Contextual Retrieval (DS(KoSimCSE-roberta-multitask+korean_bm25))),행렬 분해를 통한 협업적 비디오 재색인화 연구,3,37101.0,
FlashRank Rerank (Contextual Retrieval (DS(KoSimCSE-roberta-multitask+korean_bm25))),OpenStreetMap을 사용한 전 세계 외곽 도시 지역 항법 관련 연구,3,35697.9,
FlashRank Rerank (Contextual Retrieval (DS(KoSimCSE-roberta-multitask+korean_bm25))),분해된 언어 모델 및 일반화된 병렬 백오프,3,36796.8,
FlashRank Rerank (Contextual Retrieval (DS(KoSimCSE-roberta-multitask+korean_bm25))),5G 모듈용 유리 기판 상의 28GHz 및 39GHz 전송선로와 안테나의 최초 시연,3,35309.5,
FlashRank Rerank (Contextual Retrieval (DS(KoSimCSE-roberta-multitask+korean_bm25))),동축 파동관 기반의 광대역 밀리미터파 수동 공간 결합기,3,38494.9,
FlashRank Rerank (Contextual Retrieval (DS(KoSimCSE-roberta-multitask+korean_bm25))),알고리즘 기반 의사결정에서 차별 측정하기,3,36613.9,
