strategy,general_faithfulness,general_answer_relevancy,general_context_precision,general_context_recall,avg_faithfulness,avg_answer_relevancy,avg_context_precision,avg_context_recall
colbert|E5+splade,0.7983,0.8596,0.9167,0.8126,0.7983,0.8596,0.9167,0.8126
colbert|text-embedding-3-large+splade,0.7687,0.8598,0.9067,0.8061,0.7687,0.8598,0.9067,0.8061
colbert|embedding-query+korean_bm25,0.7433,0.8667,0.8950,0.8351,0.7433,0.8667,0.8950,0.8351
colbert|text-embedding-3-large+korean_bm25,0.7433,0.8631,0.9183,0.8472,0.7433,0.8631,0.9183,0.8472
colbert|embedding-query+splade,0.7350,0.8629,0.9050,0.8142,0.7350,0.8629,0.9050,0.8142
colbert|bge-m3+splade,0.7300,0.8805,0.9133,0.7947,0.7300,0.8805,0.9133,0.7947
colbert|KoSimCSE+korean_bm25,0.7264,0.8815,0.9233,0.8034,0.7264,0.8815,0.9233,0.8034
colbert|bge-m3+korean_bm25,0.7180,0.8477,0.9117,0.8388,0.7180,0.8477,0.9117,0.8388
colbert|E5+korean_bm25,0.7113,0.8675,0.9083,0.8249,0.7113,0.8675,0.9083,0.8249
colbert|KoSimCSE+splade,0.7003,0.8709,0.9183,0.7996,0.7003,0.8709,0.9183,0.7996
