strategy,query,num_results,latency_ms,error
FlashRank Rerank (Contextual Retrieval (DS(text-embedding-3-large+splade))),BPM 거버넌스: 공공 기관에서의 탐색적 연구,3,30180.3,
FlashRank Rerank (Contextual Retrieval (DS(text-embedding-3-large+splade))),자동차 도메인을 위한 정보 보안 프레임워크를 향하여,3,30102.9,
FlashRank Rerank (Contextual Retrieval (DS(text-embedding-3-large+splade))),비디오 행동 인식을 위한 반지도 이미지-비디오 적응,3,30389.9,
FlashRank Rerank (Contextual Retrieval (DS(text-embedding-3-large+splade))),지속 가능한 비즈니스 관행의 조직적 채택을 촉진하는 요인과 장애물,3,30200.9,
FlashRank Rerank (Contextual Retrieval (DS(text-embedding-3-large+splade))), emergence의 리더십: 조직의 연속적인 수준에서 발생하는 복잡계 리더십 이론,3,30204.9,
FlashRank Rerank (Contextual Retrieval (DS(text-embedding-3-large+splade))),목표 조건화 정책 실행 가능한 표현 학습,3,30000.9,
FlashRank Rerank (Contextual Retrieval (DS(text-embedding-3-large+splade))),MVTec ITODD 소개 — 산업용 3D 객체 인식을 위한 데이터셋,3,30201.0,
FlashRank Rerank (Contextual Retrieval (DS(text-embedding-3-large+splade))),부분적 가림 상황에서 HMM과 얼굴 엣지 길이 모델을 이용한 얼굴 인식,3,29896.6,
FlashRank Rerank (Contextual Retrieval (DS(text-embedding-3-large+splade))),컴퓨터가 생성한 이야기 맥락 속에서의 질의 응답은 무엇인가?,3,29801.7,
FlashRank Rerank (Contextual Retrieval (DS(text-embedding-3-large+splade))),이기종 무선 네트워크에서 사용자 이동성의 확률적 기하학적 분석,3,30794.4,
FlashRank Rerank (Contextual Retrieval (DS(text-embedding-3-large+splade))),대학에서 페이스북을 상호작용적 학습 자원으로 사용하는 것에 대한 학생들의 인식은?,3,30005.3,
FlashRank Rerank (Contextual Retrieval (DS(text-embedding-3-large+splade))),거래의 장벽을 깨다: 교차거래 연관 규칙 마이닝,3,29797.2,
FlashRank Rerank (Contextual Retrieval (DS(text-embedding-3-large+splade))),추적 레이더를 위한 제어 이론적 접근: 인지로 향한 첫걸음,3,29999.6,
FlashRank Rerank (Contextual Retrieval (DS(text-embedding-3-large+splade))),운영적 유연성과 재무 헤징: 보완재인가 대체재인가?,3,30201.9,
FlashRank Rerank (Contextual Retrieval (DS(text-embedding-3-large+splade))),학생의 학업 성공을 예측하기 위한 의사결정나무,3,29993.6,
FlashRank Rerank (Contextual Retrieval (DS(text-embedding-3-large+splade))),합성곱 신경망을 이용한 텍스처 생성,3,30401.9,
FlashRank Rerank (Contextual Retrieval (DS(text-embedding-3-large+splade))),SMOTE-GPU: 불균형 분류를 위한 상용 하드웨어에서의 빅데이터 전처리,3,30006.0,
FlashRank Rerank (Contextual Retrieval (DS(text-embedding-3-large+splade))),소아에서 피나스테리드로 치료한 피부선염의 사례 보고,3,29999.1,
FlashRank Rerank (Contextual Retrieval (DS(text-embedding-3-large+splade))),인지 장애가 있는 사람들의 건강 관리 및 일상생활 활동 패턴 분석을 위한 홈 센서와 기계 학습 기법 활용,3,30296.5,
FlashRank Rerank (Contextual Retrieval (DS(text-embedding-3-large+splade))),포레스트-투-시퀀스 모델을 이용한 신경 기계 번역에서 구문적 불확실성 통합,3,29696.6,
FlashRank Rerank (Contextual Retrieval (DS(text-embedding-3-large+splade))),비사실형 답변 순위 학습 웹 포럼 댓글 선택 방법은 무엇인가?,3,31300.2,
FlashRank Rerank (Contextual Retrieval (DS(text-embedding-3-large+splade))),신형 DC-DC 다단계 부스트 컨버터,3,29905.8,
FlashRank Rerank (Contextual Retrieval (DS(text-embedding-3-large+splade))),로봇 제어를 위한 구조적 기반으로서의 어포던스 연구,3,30091.1,
FlashRank Rerank (Contextual Retrieval (DS(text-embedding-3-large+splade))),현대 표준 아랍어의 주관성 및 감정 분석,3,30300.8,
FlashRank Rerank (Contextual Retrieval (DS(text-embedding-3-large+splade))),RFID 시스템을 위한 원형 편파를 가진 평면 광대역 고리형 링 안테나,3,29805.1,
FlashRank Rerank (Contextual Retrieval (DS(text-embedding-3-large+splade))),생성적 적대 신경망을 이용한 사진처럼 실감나는 단일 이미지 초해상도 기술,3,30299.8,
FlashRank Rerank (Contextual Retrieval (DS(text-embedding-3-large+splade))),컨텍스트 공유 기능을 통한 사물인터넷 환경을 위한 컨텍스트 인식 보안 제공,3,30294.5,
FlashRank Rerank (Contextual Retrieval (DS(text-embedding-3-large+splade))),마이크로소프트 키넥트와 비콘 3D 모션 캡처의 보행 분석을 위한 비교 능력,3,29807.5,
FlashRank Rerank (Contextual Retrieval (DS(text-embedding-3-large+splade))),루트 권한 악용 탐지 및 기능 최적화: 모바일 기기 및 블록체인 기반 의료 데이터 관리,3,30401.3,
FlashRank Rerank (Contextual Retrieval (DS(text-embedding-3-large+splade))),FingerCode: 지문 표현 및 매칭을 위한 필터뱅크,3,29598.5,
FlashRank Rerank (Contextual Retrieval (DS(text-embedding-3-large+splade))),사이클 내 병렬성을 활용한 집계 가속화,3,30601.8,
FlashRank Rerank (Contextual Retrieval (DS(text-embedding-3-large+splade))),라즈베리 파이를 사용한 사물인터넷 기반 자율형 지능형 관개 시스템,3,30692.5,
FlashRank Rerank (Contextual Retrieval (DS(text-embedding-3-large+splade))),침입 탐지: 서포트 벡터 머신과 신경망,3,30405.3,
FlashRank Rerank (Contextual Retrieval (DS(text-embedding-3-large+splade))),뉴스에서 은행의 어려움: 딥러닝을 통한 사건 설명,3,30097.3,
FlashRank Rerank (Contextual Retrieval (DS(text-embedding-3-large+splade))),자율주행차에 운전면허를 발급할 수 있을까?,3,30200.1,
FlashRank Rerank (Contextual Retrieval (DS(text-embedding-3-large+splade))),비트코인 거래 개인정보 보호 강화를 위한 링크 불가능한 코인 믹싱 방식,3,30196.8,
FlashRank Rerank (Contextual Retrieval (DS(text-embedding-3-large+splade))),SynopSys: 요약을 통한 SAP HANA 데이터베이스에서의 대규모 그래프 분석,3,30297.9,
FlashRank Rerank (Contextual Retrieval (DS(text-embedding-3-large+splade))),비볼록 최적화의 빠른 수렴을 위한 분산 감소,3,29409.6,
FlashRank Rerank (Contextual Retrieval (DS(text-embedding-3-large+splade))),이동 중 위성 통신을 위한 스마트 안테나,3,30195.9,
FlashRank Rerank (Contextual Retrieval (DS(text-embedding-3-large+splade))),촐레스키 분해를 기반으로 한 빠른 희소 가우시안 마르코프 임의장 학습,3,29895.0,
FlashRank Rerank (Contextual Retrieval (DS(text-embedding-3-large+splade))),기본 전자 부품을 사용한 고급 디지털 심박수 모니터 설계,3,30105.6,
FlashRank Rerank (Contextual Retrieval (DS(text-embedding-3-large+splade))),다중 에너지 소스 수확 시스템에 대한 조사,3,31597.2,
FlashRank Rerank (Contextual Retrieval (DS(text-embedding-3-large+splade))),믿을 것은 무엇인가: 데이터 분석을 위한 베이지안 방법,3,29898.5,
FlashRank Rerank (Contextual Retrieval (DS(text-embedding-3-large+splade))),DeepFood: 컴퓨터 보조 식이 평가를 위한 딥러닝 기반 음식 이미지 인식,3,30797.8,
FlashRank Rerank (Contextual Retrieval (DS(text-embedding-3-large+splade))),행렬 분해를 통한 협업적 비디오 재색인화 연구,3,29907.2,
FlashRank Rerank (Contextual Retrieval (DS(text-embedding-3-large+splade))),OpenStreetMap을 사용한 전 세계 외곽 도시 지역 항법 관련 연구,3,29700.6,
FlashRank Rerank (Contextual Retrieval (DS(text-embedding-3-large+splade))),분해된 언어 모델 및 일반화된 병렬 백오프,3,29900.9,
FlashRank Rerank (Contextual Retrieval (DS(text-embedding-3-large+splade))),5G 모듈용 유리 기판 상의 28GHz 및 39GHz 전송선로와 안테나의 최초 시연,3,30391.6,
FlashRank Rerank (Contextual Retrieval (DS(text-embedding-3-large+splade))),동축 파동관 기반의 광대역 밀리미터파 수동 공간 결합기,3,29998.8,
FlashRank Rerank (Contextual Retrieval (DS(text-embedding-3-large+splade))),알고리즘 기반 의사결정에서 차별 측정하기,3,30608.3,
