strategy,query,num_results,latency_ms,error
FlashRank Rerank (Contextual Retrieval (DS(embedding-query+korean_bm25))),BPM 거버넌스: 공공 기관에서의 탐색적 연구,3,35289.8,
FlashRank Rerank (Contextual Retrieval (DS(embedding-query+korean_bm25))),자동차 도메인을 위한 정보 보안 프레임워크를 향하여,3,36567.5,
FlashRank Rerank (Contextual Retrieval (DS(embedding-query+korean_bm25))),비디오 행동 인식을 위한 반지도 이미지-비디오 적응,3,36702.7,
FlashRank Rerank (Contextual Retrieval (DS(embedding-query+korean_bm25))),지속 가능한 비즈니스 관행의 조직적 채택을 촉진하는 요인과 장애물,3,35591.7,
FlashRank Rerank (Contextual Retrieval (DS(embedding-query+korean_bm25))), emergence의 리더십: 조직의 연속적인 수준에서 발생하는 복잡계 리더십 이론,3,34994.9,
FlashRank Rerank (Contextual Retrieval (DS(embedding-query+korean_bm25))),목표 조건화 정책 실행 가능한 표현 학습,3,36109.1,
FlashRank Rerank (Contextual Retrieval (DS(embedding-query+korean_bm25))),MVTec ITODD 소개 — 산업용 3D 객체 인식을 위한 데이터셋,3,37212.7,
FlashRank Rerank (Contextual Retrieval (DS(embedding-query+korean_bm25))),부분적 가림 상황에서 HMM과 얼굴 엣지 길이 모델을 이용한 얼굴 인식,3,35785.3,
FlashRank Rerank (Contextual Retrieval (DS(embedding-query+korean_bm25))),컴퓨터가 생성한 이야기 맥락 속에서의 질의 응답은 무엇인가?,3,36725.7,
FlashRank Rerank (Contextual Retrieval (DS(embedding-query+korean_bm25))),이기종 무선 네트워크에서 사용자 이동성의 확률적 기하학적 분석,3,36311.7,
FlashRank Rerank (Contextual Retrieval (DS(embedding-query+korean_bm25))),대학에서 페이스북을 상호작용적 학습 자원으로 사용하는 것에 대한 학생들의 인식은?,3,35291.5,
FlashRank Rerank (Contextual Retrieval (DS(embedding-query+korean_bm25))),거래의 장벽을 깨다: 교차거래 연관 규칙 마이닝,3,37075.6,
FlashRank Rerank (Contextual Retrieval (DS(embedding-query+korean_bm25))),추적 레이더를 위한 제어 이론적 접근: 인지로 향한 첫걸음,3,38081.0,
FlashRank Rerank (Contextual Retrieval (DS(embedding-query+korean_bm25))),운영적 유연성과 재무 헤징: 보완재인가 대체재인가?,3,36510.5,
FlashRank Rerank (Contextual Retrieval (DS(embedding-query+korean_bm25))),학생의 학업 성공을 예측하기 위한 의사결정나무,3,37885.9,
FlashRank Rerank (Contextual Retrieval (DS(embedding-query+korean_bm25))),합성곱 신경망을 이용한 텍스처 생성,3,36212.1,
FlashRank Rerank (Contextual Retrieval (DS(embedding-query+korean_bm25))),SMOTE-GPU: 불균형 분류를 위한 상용 하드웨어에서의 빅데이터 전처리,3,37983.6,
FlashRank Rerank (Contextual Retrieval (DS(embedding-query+korean_bm25))),소아에서 피나스테리드로 치료한 피부선염의 사례 보고,3,36204.0,
FlashRank Rerank (Contextual Retrieval (DS(embedding-query+korean_bm25))),인지 장애가 있는 사람들의 건강 관리 및 일상생활 활동 패턴 분석을 위한 홈 센서와 기계 학습 기법 활용,3,36292.5,
FlashRank Rerank (Contextual Retrieval (DS(embedding-query+korean_bm25))),포레스트-투-시퀀스 모델을 이용한 신경 기계 번역에서 구문적 불확실성 통합,3,36318.5,
FlashRank Rerank (Contextual Retrieval (DS(embedding-query+korean_bm25))),비사실형 답변 순위 학습 웹 포럼 댓글 선택 방법은 무엇인가?,3,35717.6,
FlashRank Rerank (Contextual Retrieval (DS(embedding-query+korean_bm25))),신형 DC-DC 다단계 부스트 컨버터,3,36001.9,
FlashRank Rerank (Contextual Retrieval (DS(embedding-query+korean_bm25))),로봇 제어를 위한 구조적 기반으로서의 어포던스 연구,3,35194.2,
FlashRank Rerank (Contextual Retrieval (DS(embedding-query+korean_bm25))),현대 표준 아랍어의 주관성 및 감정 분석,3,36087.9,
FlashRank Rerank (Contextual Retrieval (DS(embedding-query+korean_bm25))),RFID 시스템을 위한 원형 편파를 가진 평면 광대역 고리형 링 안테나,3,35901.5,
FlashRank Rerank (Contextual Retrieval (DS(embedding-query+korean_bm25))),생성적 적대 신경망을 이용한 사진처럼 실감나는 단일 이미지 초해상도 기술,3,36195.9,
FlashRank Rerank (Contextual Retrieval (DS(embedding-query+korean_bm25))),컨텍스트 공유 기능을 통한 사물인터넷 환경을 위한 컨텍스트 인식 보안 제공,3,37210.9,
