strategy,query,num_results,latency_ms,error
FlashRank Rerank (Contextual Retrieval (DS(bge-m3+splade))),신종 코로나바이러스란?,3,42013.8,
FlashRank Rerank (Contextual Retrieval (DS(bge-m3+splade))),"코로나바이러스 감염증 2019, COVID-19라 부르는 이유는 무엇입니까?",3,42096.2,
FlashRank Rerank (Contextual Retrieval (DS(bge-m3+splade))),왜 어떤 사람들은 COVID-19를 이유로 사람 또는 집단을 비난하거나 피하는 행동(사회적 낙인 찍기)을 하는 걸까요?,3,43599.5,
FlashRank Rerank (Contextual Retrieval (DS(bge-m3+splade))),COVID-19 관련된 사회적 낙인을 어떻게 멈출 수 있을까요?,3,40309.5,
FlashRank Rerank (Contextual Retrieval (DS(bge-m3+splade))),때때로 일부 주의 COVID-19 발생수가 CDC 웹사이트에 게시된 발생수와 다른 이유는 무엇입니까?,3,42377.7,
FlashRank Rerank (Contextual Retrieval (DS(bge-m3+splade))),CDC의 COVID-19 발생수는 WHO(세계보건기구) 또는 존홉킨스에서 제공하는 발생수와 어떻게 다릅니까?,3,44330.0,
FlashRank Rerank (Contextual Retrieval (DS(bge-m3+splade))),전날의 발생수가 증가하는 이유는 무엇입니까?,3,41091.6,
FlashRank Rerank (Contextual Retrieval (DS(bge-m3+splade))),이 바이러스의 발생원은 무엇입니까?,3,40785.4,
FlashRank Rerank (Contextual Retrieval (DS(bge-m3+splade))),이 바이러스는 어떻게 확산됩니까?,3,40288.2,
FlashRank Rerank (Contextual Retrieval (DS(bge-m3+splade))),왜 사례가 증가하고 있습니까?,3,42417.5,
FlashRank Rerank (Contextual Retrieval (DS(bge-m3+splade))),COVID-19에 걸린 사람이 다른 사람들에게 그 질병을 퍼뜨릴 수 있습니까?,3,44099.2,
FlashRank Rerank (Contextual Retrieval (DS(bge-m3+splade))),COVID-[#0]로 격리되었던 사람이 다른 사람을 전염시킬 수 있습니까?,3,41810.3,
FlashRank Rerank (Contextual Retrieval (DS(bge-m3+splade))),"COVID-19를 일으키는 바이러스는 식당 배달 음식, 냉장 또는 냉동 식품을 포함한 식품류를 통해 퍼질 수 있습니까?",3,44785.7,
FlashRank Rerank (Contextual Retrieval (DS(bge-m3+splade))),바이러스가 음식에 있는 경우 COVID-19에 걸릴 수 있나요?,3,40714.8,
FlashRank Rerank (Contextual Retrieval (DS(bge-m3+splade))),따뜻한 날씨가 COVID-19의 발병을 막을 수 있습니까?,3,39013.6,
FlashRank Rerank (Contextual Retrieval (DS(bge-m3+splade))),지역사회 감염이란 무엇입니까?,3,41383.7,
FlashRank Rerank (Contextual Retrieval (DS(bge-m3+splade))),COVID-19를 유발하는 바이러스는 어떤 온도에서 죽습니까?,3,41096.2,
FlashRank Rerank (Contextual Retrieval (DS(bge-m3+splade))),모기나 진드기가 COVID-19를 일으키는 바이러스를 퍼뜨릴 수 있을까요?,3,44015.6,
FlashRank Rerank (Contextual Retrieval (DS(bge-m3+splade))),나는 미국 내 COVID-19의 위험에 처해 있습니까?,3,41987.1,
FlashRank Rerank (Contextual Retrieval (DS(bge-m3+splade))),미국에서 얼마나 많은 사례가 보고되었습니까?,3,45580.9,
FlashRank Rerank (Contextual Retrieval (DS(bge-m3+splade))),어떻게 하면 스스로를 보호할 수 있습니까?,3,41694.0,
FlashRank Rerank (Contextual Retrieval (DS(bge-m3+splade))),COVID-19에 걸린 사람과 밀접 접촉했다면 어떻게 해야 합니까?,3,40394.1,
FlashRank Rerank (Contextual Retrieval (DS(bge-m3+splade))),CDC에서는 COVID-19를 예방하기 위해 마스크나 얼굴 가리개 사용을 권장합니까?,3,41804.8,
FlashRank Rerank (Contextual Retrieval (DS(bge-m3+splade))),중국에서 배달되어 온 택배 물건이나 상품으로 인해 COVID-19에 노출될 위험이 있습니까?,3,43309.4,
FlashRank Rerank (Contextual Retrieval (DS(bge-m3+splade))),헌혈을 해도 됩니까?,3,42604.0,
FlashRank Rerank (Contextual Retrieval (DS(bge-m3+splade))),콘택트렌즈 착용자는 COVID-19 예방을 위해 특별한 조치를 취해야 하나요?,3,41871.9,
FlashRank Rerank (Contextual Retrieval (DS(bge-m3+splade))),콘택트렌즈 소독액이 COVID-19 방지에 효과가 있나요?,3,41140.0,
FlashRank Rerank (Contextual Retrieval (DS(bge-m3+splade))),아이들이 COVID-19로 아프게 될 위험은 어느 정도입니까?,3,40074.3,
FlashRank Rerank (Contextual Retrieval (DS(bge-m3+splade))),COVID-19 감염으로부터 우리 아이들을 어떻게 보호할 수 있습니까?,3,42005.2,
FlashRank Rerank (Contextual Retrieval (DS(bge-m3+splade))),COVID-19 증상은 어린이와 성인의 차이가 있습니까?,3,43077.2,
FlashRank Rerank (Contextual Retrieval (DS(bge-m3+splade))),어린이들이 마스크를 써야 합니까?,3,40508.4,
FlashRank Rerank (Contextual Retrieval (DS(bge-m3+splade))),우리 지역에서 COVID-19가 발병할 때 어떻게 아이들을 준비시켜야 합니까?,3,41680.1,
FlashRank Rerank (Contextual Retrieval (DS(bge-m3+splade))),지역사회에 감염이 있을 때 부모들은 아이들을 보호하기 위해 어떤 조치를 취해야 합니까?,3,46129.0,
FlashRank Rerank (Contextual Retrieval (DS(bge-m3+splade))),"휴교 기간 동안, 아이가 친구들과 어울려 놀아도 됩니까?",3,37384.3,
FlashRank Rerank (Contextual Retrieval (DS(bge-m3+splade))),"휴교 기간 중, 아이가 계속 학습활동을 하도록 어떻게 도울 수 있습니까?",3,37779.0,
FlashRank Rerank (Contextual Retrieval (DS(bge-m3+splade))),휴교 중 아이들이 급식을 받을 수 있습니까?,3,39397.4,
FlashRank Rerank (Contextual Retrieval (DS(bge-m3+splade))),"휴교기간 동안, 어떻게 가족을 건강하게 지킬 수 있습니까?",3,36223.3,
FlashRank Rerank (Contextual Retrieval (DS(bge-m3+splade))),"휴교 기간 동안 친척을 포함하여, 고령자과 만성질환을 가진 사람들과의 시간을 제한합니다.",3,38575.5,
FlashRank Rerank (Contextual Retrieval (DS(bge-m3+splade))),가족과 제가 COVID-19에 대비해 어떤 준비를 할 수 있나요?,3,37905.6,
FlashRank Rerank (Contextual Retrieval (DS(bge-m3+splade))),COVID-19에 감염될 위험을 줄이기 위해 우리 가족이 취할 수 있는 조치에는 무엇이 있습니까?,3,38093.2,
