strategy,query,num_results,latency_ms,error
ColBERT Rerank (Contextual Retrieval (DS(multilingual-e5-large+splade))),북태평양 기단과 오호츠크해 기단이 만나 국내에 머무르는 기간은?,3,36198.6,
ColBERT Rerank (Contextual Retrieval (DS(multilingual-e5-large+splade))),지능형 생산자동화 기반기술을 개발중인 스타트업은?,3,34914.9,
ColBERT Rerank (Contextual Retrieval (DS(multilingual-e5-large+splade))),개막전에서 3안타 2실점을 기록해서 패한 선수는?,3,32276.0,
ColBERT Rerank (Contextual Retrieval (DS(multilingual-e5-large+splade))),컵라면 매출에서 불닭볶음면을 이긴 상품은?,3,34523.7,
ColBERT Rerank (Contextual Retrieval (DS(multilingual-e5-large+splade))),재작년 세븐일레븐 컵라면 중 제일 많이 팔린 제품은?,3,34770.3,
ColBERT Rerank (Contextual Retrieval (DS(multilingual-e5-large+splade))),정부에게 환경과 관련해서 우선적으로 원조 받고 있는 곳은?,3,34078.8,
ColBERT Rerank (Contextual Retrieval (DS(multilingual-e5-large+splade))),에티하드 웰니스 프로그램의 일환으로 위생에 관한 정보를 제공하는 것은 누구인가?,3,34944.5,
ColBERT Rerank (Contextual Retrieval (DS(multilingual-e5-large+splade))),에티하드항공이 최고의 이코노미 클래스 상을 두 번째로 받은 해는?,3,31780.9,
ColBERT Rerank (Contextual Retrieval (DS(multilingual-e5-large+splade))),2015년에 열렸던 AAAI에 논문을 개재한 사람의 소속 학교는?,3,31312.1,
ColBERT Rerank (Contextual Retrieval (DS(multilingual-e5-large+splade))),코로나19 심각 단계 선언 전에 계획했던 적벽의 마지막 공연일은?,3,31077.3,
ColBERT Rerank (Contextual Retrieval (DS(multilingual-e5-large+splade))),지난달 신임 임원 교육에서 강연했던 사람의 이름은?,3,31719.8,
ColBERT Rerank (Contextual Retrieval (DS(multilingual-e5-large+splade))),2020 카트라이더 리그 시즌2'의 결승전은 언제인가?,3,29699.5,
